question_from_llm,natural_question_arisen_from_code,python_script_path,tables,text,source_dataset,check_if_code_works,bias,number_of_nested_queries,error_message
"Among Mexican states with at least 5 households that reported knowing a family/friend robbed in the last 5 years (vlh08a = 1), what are the average perceived safety at home (vlh04; lower means safer) and the average code for leaving lights on as a security method (vlh06; 1 = Yes, 3 = No) across all households in those states? Sort states from safest to least safe.","Among states with at least five households who answered Yes to knowing a family or friend robbed in the last five years, what are the average responses to “Feel safe at home?” and “Leave lights on as a security method?”, and how many households are in each state, ordered from safest to least safe?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000001.py,"[""ii_portad"", ""ii_se"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,,
"Which five states have the highest average total household debt (crh04_2) among individuals whose age is above the overall average age across all interviewed individuals, considering only households that reported a debt value?","Which five states have the highest average household total debts plus interests (in pesos) among interviewed individuals who are older than the overall average age, considering only households that reported a positive debt amount, and how many such individuals are in each state?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000002.py,"[""ii_portad"", ""ii_crh"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,scalar_filter,,
Which states have the highest average total household debt (crh04_2) among households that report using plots of land (su01 = 1) and have an adult respondent (edad >= 18)? Return the top 10 states by average debt.,"Among adults (age 18+) living in households that use a plot of land for farming and reported a positive amount of total debt (debts + interests), which 10 states have the highest average household debt in pesos, and how many adult records contribute to each state’s average?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000003.py,"[""ii_portad"", ""ii_su"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,multi_join,,
"Among states (ent) with at least 2 households that report using a plot of land for farming (su01 = 1), which 5 states have the lowest average perceived safety at home (vlh04)?","Among households that report using a plot/land for farming (su01=1), which five states have the lowest average 'feel safe at home' score (vlh04), considering only states with at least two such households?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000004.py,"[""ii_portad"", ""ii_su"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,,
Which Mexican states (ent) have an average household total debts + interests (crh04_2) among households that reported a debt value (crh04_1 = 1) above the overall average across all indebted households?,"Which states have an average household total debt plus interest (in pesos) greater than the overall average across all households with a recorded value, and for each such state, what are the average amount and the number of households, sorted from highest to lowest average?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000005.py,"[""ii_portad"", ""ii_nna"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,,
"Among Oaxaca (ent=20) households that have at least one adult (age 18+) older than the Oaxaca average adult age, and that received any direct income from Other Government Program (in02a10 > 0) in the last 12 months, what is the average perceived home safety score (vlh04) and the average amount received (in02a10) across these households, and how many such households are there?","In the state of Oaxaca, among households that received a positive amount from the “Other Government Program” (in02a10 > 0) and have at least one member aged 18+ who is older than Oaxaca’s average adult age, what are the average ‘feel safe at home’ score (vlh04), the average amount received from that program, and how many such households are there?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000006.py,"[""ii_portad"", ""ii_in"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,multi_join,,
"Among states with at least 10 interviewed individuals living in households where respondents feel unsafe or very unsafe at home (vlh04 in {3,4}), what is the average age of interviewed individuals by state, sorted from highest to lowest?","Among interviewed individuals living in households that report feeling unsafe or very unsafe at home, what is the average age by state, including only states with at least 10 such individuals, ranked from highest to lowest average age?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000007.py,"[""ii_portad"", ""ii_se"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,,
Which states have an average total household debt (crh04_2) among motor-vehicle-owning households above the overall average debt across all households that reported a value?,"What are the top 10 states with the highest average total household debt (including interest) among households that own a motor vehicle, considering only households with reported debt values, and where the state average exceeds the overall average across all households?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000008.py,"[""ii_portad"", ""ii_crh"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,scalar_filter,,
"Among adults aged 25+ in Oaxaca and Puebla (states 20 and 21), what is the average home safety rating (vlh04) for households with reported total debts + interests of at least 5,000 pesos?","Among households in Oaxaca and Puebla with an interviewee aged 25 or older who reported a numeric total debt (including interest) of at least 5,000 pesos, what are, by state, the average ‘feel safe at home’ score (1=Very safe to 4=Very unsafe), the average total debt amount, and the number of such households, ranked from safest to least safe?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000009.py,"[""ii_portad"", ""ii_crh"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,multi_join,,
"Among Mexican states (ent) with at least 2 respondent records from households that experienced illness/accident/hospitalization in the last 5 years (se01b=1), what is the average reported value of electronic devices (ah04e_2) per state? Return the top 10 states by this average, along with the respondent_count.","Which 10 states have the highest average reported value of electronic devices among households that experienced a disease, accident, or hospitalization in the last five years, considering only states with at least two such households, and how many households are included per state?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000010.py,"[""ii_portad"", ""ii_ah"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,having,,
